"","Year","DI_household_sum","DI_household_average","DI_average_quintile1","DI_average_quintile2","DI_average_quintile3","DI_average_quintile4","DI_average_quintile5","C_household_sum","C_household_average","C_average_quintile1","C_average_quintile2","C_average_quintile3","C_average_quintile4","C_average_quintile5","S_household_sum","S_household_average","S_average_quintile1","S_average_quintile2","S_average_quintile3","S_average_quintile4","S_average_quintile5"
"1",1976,3625,116297,51754,79335,101676,132056,216666,2983,95714,48467,70376,88163,109888,161677,642,20583,3365,9134,13764,22562,55667
"2",1977,4249,130830,58596,88199,113253,147637,246465,3398,104640,52801,77060,95065,120125,178141,851,26190,5897,11313,18378,27844,68935
"3",1978,5248,155737,69221,106762,136514,176742,289447,4118,122207,62439,91997,113452,140073,203075,1130,33530,6925,14945,23310,37116,87297
"4",1979,6635,188407,81390,128869,164640,213627,353510,5193,147459,75063,111833,137413,169118,243882,1442,40948,6574,17422,27626,45157,111036
"5",1980,8568,233112,102772,161965,206359,265552,428911,6604,179687,93207,140560,171305,206460,286903,1964,53425,9793,21848,35686,59861,143831
"6",1981,10199,266439,117224,183360,234699,303530,493382,7638,199523,105282,154925,190436,230071,316899,2562,66916,12219,29023,45055,74518,178414
"7",1982,10915,275250,119603,189876,241666,312289,512814,8364,210906,110135,165162,200982,242454,335796,2552,64344,10182,25658,41980,71469,179309
"8",1983,12144,295887,127440,201812,258505,336226,555450,9285,226234,119019,175513,215119,259178,362341,2859,69653,9280,27401,45085,79068,196461
"9",1984,13194,314245,133434,215118,276900,358783,586988,10235,243784,126944,188902,230399,281013,391663,2958,70461,7175,27633,48316,80293,199943
"10",1985,13742,320492,134105,217705,280779,366676,603196,10560,246277,126996,189388,233474,285547,395979,3182,74216,7591,29007,48520,82833,210792
"11",1986,15128,341728,141750,230893,297011,386991,651995,11443,258474,132570,201167,244231,296600,417802,3686,83254,9180,29726,52780,90391,234193
"12",1987,16763,366487,148553,247423,321168,418237,697051,12584,275105,134948,210806,260769,320141,448858,4180,91382,13606,36617,60400,98097,248193
"13",1988,19437,410483,161874,275655,360257,469525,785101,14310,302207,148715,234288,290348,348809,488875,5127,108276,13159,41368,69910,120716,296226
"14",1989,22767,464994,179029,313864,411978,536296,883807,16494,336875,163638,263082,324824,392116,540717,6273,128119,15391,50783,87154,144181,343090
"15",1990,26145,520147,193685,343785,455426,603914,1003925,18614,370323,177935,286961,354609,431054,601057,7531,149824,15750,56825,100817,172862,402868
"16",1991,30302,587242,227816,389205,511410,674451,1133327,21247,411760,202205,323411,393912,475757,663517,9055,175482,25611,65794,117499,198695,469810
"17",1992,33823,639696,235752,423392,560466,742466,1236407,23540,445220,211622,351510,432439,517933,712598,10283,194476,24130,71882,128027,224533,523810
"18",1993,39444,727879,259380,477408,642257,853213,1407138,27319,504133,238753,394795,490342,590955,805819,12125,223747,20627,82614,151915,262258,601321
"19",1994,42855,769755,280259,499105,669983,892016,1507414,30397,545987,255078,419297,522530,624470,908563,12458,223768,25181,79808,147453,267546,598851
"20",1995,46499,811338,296166,525749,704713,948484,1581581,33873,591035,270859,451990,567437,685390,979498,12626,220303,25307,73759,137276,263094,602083
"21",1996,48825,826378,298443,537241,723067,966103,1607034,36302,614435,285227,464278,589982,721896,1010792,12522,211943,13216,72963,133085,244207,596242
"22",1997,52706,863427,312458,557429,753919,1003815,1689517,38730,634477,292464,487183,612672,747747,1032317,13976,228951,19994,70245,141247,256068,657199
"23",1998,54775,873175,310865,560766,765375,1014770,1714097,40545,646343,288889,496500,632744,763930,1049654,14229,226831,21976,64267,132630,250840,664443
"24",1999,57176,889053,317001,573853,778496,1031669,1744245,42142,655282,290266,497548,638566,777298,1072735,15034,233770,26735,76305,139931,254371,671511
"25",2000,58734,891445,315172,571355,778556,1043508,1748633,43664,662722,300440,502783,634736,780907,1094744,15070,228723,14733,68572,143820,262601,653888
"26",2001,58468,868651,279404,524766,740054,1013478,1785550,44281,657872,283920,480451,629430,792556,1103002,14187,210779,-4516,44315,110623,220922,682548
"27",2002,59907,875919,292113,538584,743888,1005274,1799733,46003,672619,302415,500714,647533,804065,1108368,13904,203300,-10302,37871,96355,201210,691365
"28",2003,61377,881662,296297,545465,745231,1021325,1799992,46390,666372,294645,491137,650448,802983,1092645,14988,215290,1652,54328,94783,218342,707347
"29",2004,63131,891249,297305,555452,775719,1035972,1791796,49063,692648,295476,513243,678420,831215,1144888,14068,198600,1829,42208,97299,204757,646909
"30",2005,64471,894574,297694,556117,779044,1043131,1796884,50526,701076,299642,516758,688550,861302,1139131,13945,193497,-1948,39360,90494,181829,657753
"31",2006,66729,913092,304274,564865,795427,1073507,1827387,52108,713024,304091,524833,702656,860439,1173099,14621,200068,183,40032,92770,213067,654288
"32",2007,68499,923874,312145,571128,799418,1069885,1866791,53093,716094,313309,530417,699698,868505,1168540,15405,207780,-1164,40711,99720,201380,698251
"33",2008,68934,913687,303517,564893,796225,1068804,1834994,53221,705413,309419,522744,687699,849967,1157234,15713,208274,-5902,42149,108525,218837,677760
"34",2009,68239,887605,282260,544532,771572,1049242,1790418,54253,705680,312957,520079,674549,856788,1164025,13986,181925,-30697,24453,97023,192454,626394
"35",2010,69733,889353,288553,542741,773468,1054693,1787312,55066,702292,309078,508446,680747,849369,1163820,14667,187061,-20525,34295,92720,205324,623492
"36",2011,72274,907988,296352,546903,786324,1083008,1827354,58028,729010,325660,522084,695209,875496,1226601,14246,178978,-29308,24819,91114,207512,600753
"37",2012,74601,923584,301362,566814,810075,1093553,1846116,58778,727693,327157,531922,700722,880096,1198566,15823,195891,-25795,34891,109353,213457,647550
"38",2013,77182,942208,309459,583287,823937,1111674,1882680,61267,747922,331391,545713,715675,902072,1244759,15915,194286,-21932,37575,108262,209603,637921
"39",2014,79323,956849,317144,587625,830741,1128799,1919937,62603,755169,336429,543391,713274,911211,1271539,16719,201680,-19285,44233,117467,217587,648398
"40",2015,80921,964895,320312,587763,836842,1139842,1939718,63708,759647,339536,544624,723571,921454,1269049,17213,205248,-19224,43139,113271,218388,670669
"41",2016,84000,993115,329400,616604,861413,1153992,2004165,65704,776811,347785,558894,747798,931774,1297803,18295,216304,-18384,57710,113615,222218,706361
