"","date","連鎖實質值(2011為參考年_新台幣百萬元)-1.民間消費","連鎖實質值(2011為參考年_新台幣百萬元)-2.政府消費","連鎖實質值(2011為參考年_新台幣百萬元)-3.資本形成:3.1--3.2合計","連鎖實質值(2011為參考年_新台幣百萬元)-5.商品及服務輸入:5.1--5.2合計","連鎖實質值(2011為參考年_新台幣百萬元)-6.GDP"
"1",1981-01-01,367073,147399,205998,287643,551557
"2",1981-02-01,331242,151018,233521,300262,585917
"3",1981-03-01,358849,144553,181076,283535,585951
"4",1981-04-01,344639,143311,213543,271846,608161
"5",1982-01-01,382610,160037,154327,258592,576823
"6",1982-02-01,350670,162547,220577,281418,615988
"7",1982-03-01,378109,153005,181665,283778,613470
"8",1982-04-01,369484,150789,221590,281108,637168
"9",1983-01-01,401064,168332,150268,263440,601566
"10",1983-02-01,375044,171760,207690,286595,667778
"11",1983-03-01,400605,162442,215388,321331,682796
"12",1983-04-01,401815,161316,277633,348627,712284
"13",1984-01-01,435239,181039,158355,306125,673054
"14",1984-02-01,411329,182241,250243,352500,745659
"15",1984-03-01,437611,181741,247712,379103,749104
"16",1984-04-01,435403,177821,253868,352035,764338
"17",1985-01-01,461655,191979,168050,325776,711273
"18",1985-02-01,432007,196067,226688,335692,777264
"19",1985-03-01,458027,193045,189502,329819,776202
"20",1985-04-01,459115,191616,224856,338906,808366
"21",1986-01-01,490655,202459,169944,354195,783827
"22",1986-02-01,461520,209566,264606,409871,851668
"23",1986-03-01,497439,194217,235472,418875,871805
"24",1986-04-01,499103,197204,263373,451978,919691
"25",1987-01-01,543209,215879,186710,426061,886983
"26",1987-02-01,516070,225548,311560,529480,973399
"27",1987-03-01,550845,222783,300498,533732,990739
"28",1987-04-01,562585,226465,395676,600455,1011184
"29",1988-01-01,606106,233490,362091,651273,963726
"30",1988-02-01,585651,242587,370152,622857,1041367
"31",1988-03-01,636563,242849,415842,673227,1070699
"32",1988-04-01,651274,244438,375204,660823,1096211
"33",1989-01-01,685722,256817,328009,632851,1051379
"34",1989-02-01,677309,266180,407345,704097,1139137
"35",1989-03-01,732773,289113,341070,737030,1161425
"36",1989-04-01,736994,285469,411064,713912,1185083
"37",1990-01-01,777228,301712,371293,713706,1130229
"38",1990-02-01,741949,311692,436144,744560,1186294
"39",1990-03-01,784463,317987,334759,717644,1211381
"40",1990-04-01,787905,313395,451831,753786,1265259
"41",1991-01-01,819302,325271,398136,774928,1209733
"42",1991-02-01,808358,336048,462884,848077,1288729
"43",1991-03-01,852269,339597,459231,910644,1322588
"44",1991-04-01,850620,335783,499125,838488,1372793
"45",1992-01-01,901227,339891,454951,869806,1337034
"46",1992-02-01,890409,346696,525014,932577,1398079
"47",1992-03-01,931218,345351,517532,942828,1427388
"48",1992-04-01,938369,341816,557424,950322,1462079
"49",1993-01-01,974263,359126,502712,943834,1427084
"50",1993-02-01,963894,359859,564134,1004615,1496864
"51",1993-03-01,1008767,346945,539507,992345,1521508
"52",1993-04-01,1013368,350240,604594,1019580,1561721
"53",1994-01-01,1059105,360798,544005,992225,1512490
"54",1994-02-01,1044216,368601,606640,1019276,1612393
"55",1994-03-01,1100064,344087,567414,1021929,1627556
"56",1994-04-01,1100865,351109,669510,1099647,1704923
"57",1995-01-01,1096355,395450,560971,1045261,1626681
"58",1995-02-01,1093375,407180,671613,1164001,1716351
"59",1995-03-01,1131246,406533,641765,1173693,1741161
"60",1995-04-01,1144494,407999,669209,1162839,1792976
"61",1996-01-01,1172021,405067,596722,1141832,1719991
"62",1996-02-01,1166583,460389,642022,1213013,1815952
"63",1996-03-01,1215586,420637,584689,1158513,1848592
"64",1996-04-01,1228613,444499,755394,1291692,1917319
"65",1997-01-01,1251936,435480,653236,1278330,1817395
"66",1997-02-01,1247376,472190,721092,1310250,1917298
"67",1997-03-01,1306099,455376,689464,1367684,1964058
"68",1997-04-01,1317491,466724,864035,1477585,2049472
"69",1998-01-01,1350317,465658,740024,1429000,1905624
"70",1998-02-01,1329709,515055,756508,1428539,1999302
"71",1998-03-01,1383418,439627,771377,1454949,2056346
"72",1998-04-01,1401634,496214,883514,1542662,2113230
"73",1999-01-01,1407678,477989,708471,1433548,2025233
"74",1999-02-01,1415507,505005,753286,1508499,2144263
"75",1999-03-01,1462249,435663,797634,1513149,2176803
"76",1999-04-01,1466534,449138,958290,1639854,2270567
"77",2000-01-01,1510377,444804,777452,1615390,2147651
"78",2000-02-01,1495004,463755,893377,1807891,2277701
"79",2000-03-01,1533572,471220,876906,1833072,2336899
"80",2000-04-01,1514474,499665,959848,1743598,2407865
"81",2001-01-01,1529245,440452,679175,1522751,2181710
"82",2001-02-01,1509910,468701,701945,1552571,2223329
"83",2001-03-01,1549493,478126,628235,1420287,2247495
"84",2001-04-01,1551590,538032,697849,1484557,2402046
"85",2002-01-01,1574928,440502,553318,1411292,2224558
"86",2002-02-01,1564102,483034,691959,1616011,2376396
"87",2002-03-01,1619657,483679,769847,1700940,2405070
"88",2002-04-01,1595472,552216,776393,1633817,2553310
"89",2003-01-01,1596578,453370,655212,1570792,2333279
"90",2003-02-01,1546443,457228,725993,1672691,2359863
"91",2003-03-01,1713991,502589,634663,1711453,2530316
"92",2003-04-01,1679132,533307,881831,1888195,2729777
"93",2004-01-01,1703287,459725,706358,1878145,2484301
"94",2004-02-01,1685349,469988,832181,2043937,2595529
"95",2004-03-01,1749318,505350,840778,2012295,2697143
"96",2004-04-01,1741735,533507,1009287,2115687,2823820
"97",2005-01-01,1769971,450157,773785,1960123,2570246
"98",2005-02-01,1748136,492916,875927,2118989,2721985
"99",2005-03-01,1804935,506075,891040,2088429,2844868
"100",2005-04-01,1788038,527600,890966,2115693,3037819
"101",2006-01-01,1802120,439748,815149,2095404,2726606
"102",2006-02-01,1772568,478739,878351,2202085,2886728
"103",2006-03-01,1836169,505990,880978,2200050,3034834
"104",2006-04-01,1827814,539796,919827,2171976,3155167
"105",2007-01-01,1833923,446688,741992,2047232,2868224
"106",2007-02-01,1813789,485446,933550,2254870,3067043
"107",2007-03-01,1908046,524368,920004,2339182,3267085
"108",2007-04-01,1858136,551026,909338,2278717,3370198
"109",2008-01-01,1874706,460411,825982,2229197,3089606
"110",2008-02-01,1805732,493370,856042,2214268,3235006
"111",2008-03-01,1829654,516346,837411,2261970,3224075
"112",2008-04-01,1778239,568318,758659,1845759,3112392
"113",2009-01-01,1811083,476303,479480,1489078,2846213
"114",2009-02-01,1770830,505060,664624,1785162,3038621
"115",2009-03-01,1844187,537522,695582,2009247,3184042
"116",2009-04-01,1863298,585151,799720,2137356,3393853
"117",2010-01-01,1870128,485762,825390,2224261,3200723
"118",2010-02-01,1847874,516841,902360,2380359,3415305
"119",2010-03-01,1928850,544488,947304,2452456,3556370
"120",2010-04-01,1916433,579033,910384,2443512,3615244
"121",2011-01-01,1956487,498231,875543,2379427,3436643
"122",2011-02-01,1913654,521351,903088,2437435,3561389
"123",2011-03-01,1994721,553060,855544,2335653,3674461
"124",2011-04-01,1934114,594953,748691,2304422,3639707
"125",2012-01-01,1994550,509430,780093,2229778,3463603
"126",2012-02-01,1949324,542358,838141,2336685,3576481
"127",2012-03-01,2023924,557105,860148,2379707,3759326
"128",2012-04-01,1973109,605554,800115,2342243,3808159
"129",2013-01-01,2012825,509351,826580,2345236,3514210
"130",2013-02-01,1996783,533317,828033,2393581,3666246
"131",2013-03-01,2058561,554807,858335,2401114,3814567
"132",2013-04-01,2058265,599579,871023,2464501,3934269
"133",2014-01-01,2074368,530490,840076,2418846,3649110
"134",2014-02-01,2070014,546823,869322,2491358,3824353
"135",2014-03-01,2144132,575955,925247,2613253,3981949
"136",2014-04-01,2117068,624302,898678,2625513,4074194
"137",2015-01-01,2147466,514807,836987,2484435,3795452
"138",2015-02-01,2145191,551119,917387,2563848,3849722
"139",2015-03-01,2169814,576852,930107,2588521,3954060
"140",2015-04-01,2168259,628814,894260,2633257,4042117
"141",2016-01-01,2204207,547430,809475,2450023,3786618
"142",2016-02-01,2179273,562320,902375,2556467,3893377
"143",2016-03-01,2228440,596272,958500,2726724,4037876
"144",2016-04-01,2211893,636683,954433,2885787,4155006
"145",2017-01-01,2245697,521557,875293,2636324,3887220
"146",2017-02-01,2223948,566949,903869,2668201,3976265
