"","X","date","GDP","C","G","I","Ex","Im"
"1",1,"1982-01-01",605900,362416,156436,190591,211484,272774
"2",2,"1982-04-01",604229,367041,157591,197329,205347,276061
"3",3,"1982-07-01",615319,375091,156202,193297,210479,274915
"4",4,"1982-10-01",618001,376325,156149,196942,213809,281146
"5",5,"1983-01-01",625233,382408,163721,189171,222306,278963
"6",6,"1983-04-01",652030,391384,166644,183451,240570,282648
"7",7,"1983-07-01",688306,397229,165592,226635,257658,310671
"8",8,"1983-10-01",698855,407507,167893,251722,268738,347711
"9",9,"1984-01-01",709168,417122,175924,203229,285591,325716
"10",10,"1984-04-01",734564,428139,177028,222900,299519,346079
"11",11,"1984-07-01",750812,433922,184828,257824,299090,367845
"12",12,"1984-10-01",737611,440399,185062,226225,291350,350123
"13",13,"1985-01-01",749952,443350,187072,212833,298969,346200
"14",14,"1985-04-01",766336,449025,191037,201464,298340,326291
"15",15,"1985-07-01",776705,454771,195821,201168,297006,321595
"16",16,"1985-10-01",780112,463658,198777,193631,306859,336107
"17",17,"1986-01-01",823730,471656,198575,211778,360775,376280
"18",18,"1986-04-01",837559,479414,204710,235479,363561,396808
"19",19,"1986-07-01",876532,493911,196571,251112,389180,412339
"20",20,"1986-10-01",889170,503736,203590,235026,423867,449492
"21",21,"1987-01-01",920172,523173,212843,229894,441176,452168
"22",22,"1987-04-01",963261,535861,220468,285424,469470,514299
"23",23,"1987-07-01",996887,546818,224533,312758,478631,526529
"24",24,"1987-10-01",981985,566857,232831,366368,461319,596732
"25",25,"1988-01-01",988554,586380,231254,394652,487613,684885
"26",26,"1988-04-01",1047003,606886,237465,356002,493909,606040
"27",27,"1988-07-01",1066178,631018,244189,423082,481872,660904
"28",28,"1988-10-01",1070268,655310,250456,349553,508596,656351
"29",29,"1989-01-01",1090504,666518,255122,351606,511135,661909
"30",30,"1989-04-01",1135068,699815,260975,382141,519004,689806
"31",31,"1989-07-01",1138706,725439,289603,361200,524975,725032
"32",32,"1989-10-01",1172746,741026,291879,392541,510399,711143
"33",33,"1990-01-01",1161877,759546,300236,405799,503253,741622
"34",34,"1990-04-01",1184758,762934,306207,420368,500837,730920
